time,biomass
1969-01-16 00:00:00,793252294646179.8
1969-02-14 12:00:00,703362740822778.5
1969-03-16 00:00:00,544001239722274.0
1969-04-15 12:00:00,221339473102501.75
1969-05-16 00:00:00,113529712463443.14
1969-06-15 12:00:00,82397757151839.77
1969-07-16 00:00:00,81111588409377.42
1969-08-16 00:00:00,179552463668571.16
1969-09-15 12:00:00,264659361731912.62
1969-10-16 00:00:00,356701791726077.5
1969-11-15 12:00:00,623349654420293.9
1969-12-16 00:00:00,1087895415492725.2
1970-01-16 00:00:00,1486911719604749.5
1970-02-14 12:00:00,1575537626066002.5
1970-03-16 00:00:00,1246111039599282.2
1970-04-15 12:00:00,794653490388896.9
1970-05-16 00:00:00,309258858366745.8
1970-06-15 12:00:00,164867017752883.4
1970-07-16 00:00:00,292034388772001.7
1970-08-16 00:00:00,403919426395387.25
1970-09-15 12:00:00,610982886359720.2
1970-10-16 00:00:00,772434870099259.9
1970-11-15 12:00:00,1076234050717873.2
1970-12-16 00:00:00,1720713389752825.5
1971-01-16 00:00:00,2041231547336337.0
1971-02-14 12:00:00,2444575271087183.5
1971-03-16 00:00:00,2738072736481355.5
1971-04-15 12:00:00,3109459232823335.0
1971-05-16 00:00:00,1830327149420462.0
1971-06-15 12:00:00,929762083373414.0
1971-07-16 00:00:00,521717631173625.94
1971-08-16 00:00:00,401654959552357.3
1971-09-15 12:00:00,527548552401448.3
1971-10-16 00:00:00,590247630058115.1
1971-11-15 12:00:00,874520718839999.4
1971-12-16 00:00:00,1229673064375354.5
1972-01-16 00:00:00,1826350014128135.8
1972-02-14 12:00:00,2109817242467822.8
1972-03-16 00:00:00,1973885888445975.0
1972-04-15 12:00:00,1693096664202255.5
1972-05-16 00:00:00,820916740298840.1
1972-06-15 12:00:00,370094289366191.9
1972-07-16 00:00:00,202917617576220.53
1972-08-16 00:00:00,187183907505284.25
1972-09-15 12:00:00,283394142643239.6
1972-10-16 00:00:00,353998340506898.1
1972-11-15 12:00:00,334518943343334.9
1972-12-16 00:00:00,267655454877471.88
1973-01-16 00:00:00,485447013600303.7
1973-02-14 12:00:00,447583932822926.6
1973-03-16 00:00:00,199954666753080.12
1973-04-15 12:00:00,129242003192098.95
1973-05-16 00:00:00,65006473283515.16
1973-06-15 12:00:00,31658995837115.527
1973-07-16 00:00:00,66388000304096.35
1973-08-16 00:00:00,150964085127423.1
1973-09-15 12:00:00,256057963278890.72
1973-10-16 00:00:00,501135175628253.2
1973-11-15 12:00:00,840905792345776.5
1973-12-16 00:00:00,974925585243669.0
1974-01-16 00:00:00,1328497738978880.0
1974-02-14 12:00:00,1374883947995375.0
1974-03-16 00:00:00,1110584592927507.0
1974-04-15 12:00:00,1024891824856455.2
1974-05-16 00:00:00,627537387603763.1
1974-06-15 12:00:00,407732018609480.0
1974-07-16 00:00:00,502219288795303.2
1974-08-16 00:00:00,703642201443122.8
1974-09-15 12:00:00,755467197323153.9
1974-10-16 00:00:00,861325367022406.9
1974-11-15 12:00:00,950149551603424.1
1974-12-16 00:00:00,804188794743177.2
1975-01-16 00:00:00,634837214958586.0
1975-02-14 12:00:00,748831140664540.0
1975-03-16 00:00:00,720501920341947.5
1975-04-15 12:00:00,487598833428722.06
1975-05-16 00:00:00,300322017986541.94
1975-06-15 12:00:00,231786135848766.06
1975-07-16 00:00:00,291686565342524.8
1975-08-16 00:00:00,347192000327922.4
1975-09-15 12:00:00,372908054794292.06
1975-10-16 00:00:00,433270745925266.75
1975-11-15 12:00:00,455110282417862.6
1975-12-16 00:00:00,705225847337397.9
1976-01-16 00:00:00,839143048838696.4
1976-02-14 12:00:00,848836460586627.5
1976-03-16 00:00:00,686661635592744.5
1976-04-15 12:00:00,536436691851888.75
1976-05-16 00:00:00,257519340114037.72
1976-06-15 12:00:00,117625558694829.75
1976-07-16 00:00:00,104196585776892.95
1976-08-16 00:00:00,78387243346642.9
1976-09-15 12:00:00,72880760817977.44
1976-10-16 00:00:00,93585951513110.75
1976-11-15 12:00:00,272705768802616.72
1976-12-16 00:00:00,501165403399029.4
1977-01-16 00:00:00,408832561500123.75
1977-02-14 12:00:00,291783847769314.94
1977-03-16 00:00:00,236189543561271.2
1977-04-15 12:00:00,304987039543292.8
1977-05-16 00:00:00,200423459461505.94
1977-06-15 12:00:00,49887115761388.445
1977-07-16 00:00:00,86519202241905.0
1977-08-16 00:00:00,181614711963096.28
1977-09-15 12:00:00,304345055676649.6
1977-10-16 00:00:00,296050495378206.25
1977-11-15 12:00:00,176686554951287.0
1977-12-16 00:00:00,221603636668497.3
1978-01-16 00:00:00,477857283516027.44
1978-02-14 12:00:00,308231240156561.9
1978-03-16 00:00:00,214783594891303.5
1978-04-15 12:00:00,248919813956916.7
1978-05-16 00:00:00,120661985507117.72
1978-06-15 12:00:00,149351572315047.12
1978-07-16 00:00:00,311717948679515.2
1978-08-16 00:00:00,471255343049704.3
1978-09-15 12:00:00,700824457578122.9
1978-10-16 00:00:00,966897503064309.0
1978-11-15 12:00:00,838759570676051.6
1978-12-16 00:00:00,609712855944743.5
1979-01-16 00:00:00,620190496340085.8
1979-02-14 12:00:00,366144476589137.9
1979-03-16 00:00:00,277566331049059.97
1979-04-15 12:00:00,135972084898932.94
1979-05-16 00:00:00,23167195896808.7
1979-06-15 12:00:00,36549228178975.56
1979-07-16 00:00:00,61651918431697.32
1979-08-16 00:00:00,101555031978968.94
1979-09-15 12:00:00,192492902453771.9
1979-10-16 00:00:00,366472339838187.4
1979-11-15 12:00:00,531857883883743.9
1979-12-16 00:00:00,930608822528955.2
1980-01-16 00:00:00,1109783443824952.8
1980-02-14 12:00:00,753308891996373.5
1980-03-16 00:00:00,425016069944949.4
1980-04-15 12:00:00,298658172342874.75
1980-05-16 00:00:00,90199819248337.1
1980-06-15 12:00:00,22250213317457.64
1980-07-16 00:00:00,55219945950843.98
