"","animal","Common_Name","Family_Common","selector_caption"
"259","Stercorarius_pomarinus","Pomarine Skua","Spheniscidae (Penguins)","Stercorarius pomarinus (Pomarine skua)"
"260","Sterna_albifrons","Little Tern","Laridae (Gulls, Terns & Skimmers)","Sterna albifrons (little tern)"
"261","Sterna_albostriata","Black-fronted Tern","Laridae (Gulls, Terns & Skimmers)","Sterna albostriata (black-fronted tern)"
"262","Sterna_aleutica","Aleutian Tern","Laridae (Gulls, Terns & Skimmers)","Sterna aleutica (Aleutian tern)"
"263","Sterna_anaethetus","Bridled Tern","Laridae (Gulls, Terns & Skimmers)","Sterna anaethetus (bridled tern)"
"264","Sterna_antillarum","Least Tern","Laridae (Gulls, Terns & Skimmers)","Sterna antillarum (least tern)"
"265","Sterna_balaenarum","Damara Tern","Laridae (Gulls, Terns & Skimmers)","Sterna balaenarum (Damara tern)"
"266","Sterna_bengalensis","Lesser Crested Tern","Laridae (Gulls, Terns & Skimmers)","Sterna bengalensis (lesser crested tern)"
"267","Sterna_bergii","Greater Crested Tern","Laridae (Gulls, Terns & Skimmers)","Sterna bergii (greater crested tern)"
"268","Sterna_bernsteini","Chinese Crested Tern","Laridae (Gulls, Terns & Skimmers)","Sterna bernsteini (Chinese crested tern)"
"269","Sterna_caspia","Caspian Tern","Laridae (Gulls, Terns & Skimmers)","Sterna caspia (Caspian tern)"
"270","Sterna_dougallii","Roseate Tern","Laridae (Gulls, Terns & Skimmers)","Sterna dougallii (roseate tern)"
"271","Sterna_elegans","Elegant Tern","Laridae (Gulls, Terns & Skimmers)","Sterna elegans (elegant tern)"
"272","Sterna_forsteri","Forster's Tern","Laridae (Gulls, Terns & Skimmers)","Sterna forsteri (Forster's tern)"
"273","Sterna_fuscata","Sooty Tern","Laridae (Gulls, Terns & Skimmers)","Sterna fuscata (sooty tern)"
"274","Sterna_hirundinacea","South American Tern","Laridae (Gulls, Terns & Skimmers)","Sterna hirundinacea (South American tern)"
