IslandID,Island,Archipelago,#sp,Extant,Extirpated,Country/ Territory ,Area (sq. km),Income Group (GDP per Cap.),Human Presence,Habitation,Invasive Vertebrate Presence,Latitudinal Zone,Biogeographic Realm,Biome,Marine Realm,Marine Province,Marine Ecoregion
92300,Vanua Vatu,Fiji (Lau Group),2,2,,FJ,4.201,Upper middle income,Yes,11 - 100,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
156420,Kaibu,Fiji (Lau Group),1,1,,FJ,1.568,Upper middle income,Yes,11 - 100,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
172290,Gerumajima,Ryukyu Islands (Okinawa group),2,2,,JP,1.148,High income,Yes,11 - 100,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,South Kuroshio,South Kuroshio
221800,Gevo,Fiji (Vanua Levu Group),1,1,,FJ,0.907,Upper middle income,Yes,11 - 100,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
296930,Asor,Caroline Islands (Ulithi Islands),1,1,,FM,0.395,Lower middle income,Yes,11 - 100,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
376240,Lenger,Caroline Islands (Pohnpei),2,2,,FM,0.412,Lower middle income,Yes,11 - 100,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,East Caroline Islands
450910,Mogmog,Caroline Islands (Ulithi Islands),1,1,,FM,0.310,Lower middle income,Yes,11 - 100,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
30000,Makatea,Tuamotus,1,1,,PF,30.126,High income,Yes,11 - 100,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,Southeast Polynesia,Tuamotus
42630,Canton (Kanton),Phoenix Islands,1,1,,KI,11.265,Lower middle income,Yes,11 - 100,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,Central Polynesia,Phoenix/Tokelau/Northern Cook Islands
84970,Midway Atoll (Sand),Hawaiian Islands (Midway Atoll),1,1,,US,4.444,High income,Yes,11 - 100,Present,Tropical,Oceania,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Eastern Indo-Pacific,Hawaii,Hawaii
