"","Atoll_Island","Species","Census","Value.high.nn","Value.high.nn.q2.5","Value.high.nn.q97.5","Value.low.nn","Value.low.nn.q2.5","Value.low.nn.q.97.5","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"113","Great_Chagos_Bank_Eagle_Island","Phaethon_lepturus",1,1,1,1,1,1,1,243.5,119.5,0.32,11.7925784424493,0.00104750544320722,0.00104750544320722,0.00104750544320722
"119","Peros_Banhos_Coin","Phaethon_lepturus",0,0,0,0,0,0,0,127.5,119.5,0.32,11.7925784424493,0,0,0
"121","Peros_Banhos_Monpatre_complex","Phaethon_lepturus",0,0,0,0,0,0,0,4.5,119.5,0.32,11.7925784424493,0,0,0
"122","Peros_Banhos_Poule","Phaethon_lepturus",1,1,1,1,1,1,1,108,119.5,0.32,11.7925784424493,0.00236173680945331,0.00236173680945331,0.00236173680945331
"123","Peros_Banhos_Petit_Souer","Phaethon_lepturus",0,0,0,0,0,0,0,41.5,119.5,0.32,11.7925784424493,0,0,0
"124","Peros_Banhos_Grand_Souer","Phaethon_lepturus",0,0,0,0,0,0,0,64,119.5,0.32,11.7925784424493,0,0,0
"129","Peros_Banhos_Pierre","Phaethon_lepturus",0,0,0,0,0,0,0,150,119.5,0.32,11.7925784424493,0,0,0
"130","Peros_Banhos_Petite_Mapou","Phaethon_lepturus",0,0,0,0,0,0,0,10,119.5,0.32,11.7925784424493,0,0,0
"131","Peros_Banhos_Grande_Mapou","Phaethon_lepturus",0,0,0,0,0,0,0,19.5,119.5,0.32,11.7925784424493,0,0,0
"132","Peros_Banhos_Diamant","Phaethon_lepturus",0,0,0,0,0,0,0,88.5,119.5,0.32,11.7925784424493,0,0,0
"133","Peros_Banhos_Passe","Phaethon_lepturus",0,0,0,0,0,0,0,22.5,119.5,0.32,11.7925784424493,0,0,0
"134","Peros_Banhos_Moresby","Phaethon_lepturus",1,1,1,1,1,1,1,43.5,119.5,0.32,11.7925784424493,0.00586362242347029,0.00586362242347029,0.00586362242347029
"142","Peros_Banhos_Yeye","Phaethon_lepturus",0,0,0,0,0,0,0,58.5,119.5,0.32,11.7925784424493,0,0,0
"147","Peros_Banhos_Fouquet","Phaethon_lepturus",0,0,0,0,0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"148","Peros_Banhos_Mapou_de_Coin","Phaethon_lepturus",0,0,0,0,0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"149","Salomon_Islands_Boddam","Phaethon_lepturus",1,1,1,1,1,1,1,108.5,119.5,0.32,11.7925784424493,0.00235085322968624,0.00235085322968624,0.00235085322968624
"150","Salomon_Islands_Diable","Phaethon_lepturus",0,0,0,0,0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"151","Salomon_Islands_Anglaise","Phaethon_lepturus",0,0,0,0,0,0,0,75.5,119.5,0.32,11.7925784424493,0,0,0
"154","Salomon_Islands_Takamaka","Phaethon_lepturus",5,5,5,5,5,5,5,44,119.5,0.32,11.7925784424493,0.0289849517523815,0.0289849517523815,0.0289849517523815
"155","Salomon_Islands_Fouquet","Phaethon_lepturus",1,1,1,1,1,1,1,39.5,119.5,0.32,11.7925784424493,0.00645740697268247,0.00645740697268247,0.00645740697268247
"156","Salomon_Islands_Sepulture","Phaethon_lepturus",0,0,0,0,0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"159","Salomon_Islands_Poule","Phaethon_lepturus",0,0,0,0,0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"166","Great_Chagos_Bank_Eagle_Island","Phaethon_rubricauda",0,0,0,0,0,0,0,243.5,130,0.675,18.872336185811,0,0,0
"172","Peros_Banhos_Coin","Phaethon_rubricauda",0,0,0,0,0,0,0,127.5,130,0.675,18.872336185811,0,0,0
"174","Peros_Banhos_Monpatre_complex","Phaethon_rubricauda",0,0,0,0,0,0,0,4.5,130,0.675,18.872336185811,0,0,0
"175","Peros_Banhos_Poule","Phaethon_rubricauda",0,0,0,0,0,0,0,108,130,0.675,18.872336185811,0,0,0
"176","Peros_Banhos_Petit_Souer","Phaethon_rubricauda",0,0,0,0,0,0,0,41.5,130,0.675,18.872336185811,0,0,0
"177","Peros_Banhos_Grand_Souer","Phaethon_rubricauda",0,0,0,0,0,0,0,64,130,0.675,18.872336185811,0,0,0
"182","Peros_Banhos_Pierre","Phaethon_rubricauda",0,0,0,0,0,0,0,150,130,0.675,18.872336185811,0,0,0
"183","Peros_Banhos_Petite_Mapou","Phaethon_rubricauda",0,0,0,0,0,0,0,10,130,0.675,18.872336185811,0,0,0
"184","Peros_Banhos_Grande_Mapou","Phaethon_rubricauda",0,0,0,0,0,0,0,19.5,130,0.675,18.872336185811,0,0,0
"185","Peros_Banhos_Diamant","Phaethon_rubricauda",0,0,0,0,0,0,0,88.5,130,0.675,18.872336185811,0,0,0
"186","Peros_Banhos_Passe","Phaethon_rubricauda",0,0,0,0,0,0,0,22.5,130,0.675,18.872336185811,0,0,0
"187","Peros_Banhos_Moresby","Phaethon_rubricauda",0,0,0,0,0,0,0,43.5,130,0.675,18.872336185811,0,0,0
