"","Atoll_Island","Species","Census","Value.high.nn","Value.high.nn.q2.5","Value.high.nn.q97.5","Value.low.nn","Value.low.nn.q2.5","Value.low.nn.q.97.5","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"43","Salomon_Islands_Boddam","Ardenna_pacifica",0,0,0,0,0,0,0,108.5,159,0.435,14.3091066075762,0,0,0
"44","Salomon_Islands_Diable","Ardenna_pacifica",0,0,0,0,0,0,0,0.5,159,0.435,14.3091066075762,0,0,0
"45","Salomon_Islands_Anglaise","Ardenna_pacifica",0,0,0,0,0,0,0,75.5,159,0.435,14.3091066075762,0,0,0
"46","Salomon_Islands_Passe","Ardenna_pacifica",0,0,0,0,0,0,0,26,159,0.435,14.3091066075762,0,0,0
"47","Salomon_Islands_Mapou","Ardenna_pacifica",0,0,0,0,0,0,0,4,159,0.435,14.3091066075762,0,0,0
"48","Salomon_Islands_Takamaka","Ardenna_pacifica",0,0,0,0,0,0,0,44,159,0.435,14.3091066075762,0,0,0
"49","Salomon_Islands_Fouquet","Ardenna_pacifica",0,0,0,0,0,0,0,39.5,159,0.435,14.3091066075762,0,0,0
"50","Salomon_Islands_Sepulture","Ardenna_pacifica",0,0,0,0,0,0,0,0.5,159,0.435,14.3091066075762,0,0,0
"51","Salomon_Islands_Jacobin","Ardenna_pacifica",0,0,0,0,0,0,0,1.5,159,0.435,14.3091066075762,0,0,0
"52","Salomon_Islands_Sel","Ardenna_pacifica",0,0,0,0,0,0,0,2,159,0.435,14.3091066075762,0,0,0
"53","Salomon_Islands_Poule","Ardenna_pacifica",0,0,0,0,0,0,0,0.5,159,0.435,14.3091066075762,0,0,0
"54","Diego_Garcia_Diego_Garcia","Puffinus_bailloni",2,2,2,2,2,2,2,2719.5,118.5,0.19,8.49139524097329,0.000133942041423803,0.000133942041423803,0.000133942041423803
"55","Diego_Garcia_West_Island","Puffinus_bailloni",0,0,0,0,0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"56","Diego_Garcia_Middle_Island","Puffinus_bailloni",0,0,0,0,0,0,0,5,118.5,0.19,8.49139524097329,0,0,0
"57","Diego_Garcia_East_Island","Puffinus_bailloni",0,0,0,0,0,0,0,7.5,118.5,0.19,8.49139524097329,0,0,0
"58","Great_Chagos_Bank_Danger","Puffinus_bailloni",10,10,10,10,10,10,10,66,118.5,0.19,8.49139524097329,0.0275951046706084,0.0275951046706084,0.0275951046706084
"59","Great_Chagos_Bank_Sea_Cow","Puffinus_bailloni",5,5,5,5,5,5,5,18,118.5,0.19,8.49139524097329,0.0505910252294488,0.0505910252294488,0.0505910252294488
"60","Great_Chagos_Bank_Eagle_Island","Puffinus_bailloni",0,0,0,0,0,0,0,243.5,118.5,0.19,8.49139524097329,0,0,0
"61","Great_Chagos_Bank_North_Brother","Puffinus_bailloni",1200,1200,1200,1200,1200,1200,1200,6,118.5,0.19,8.49139524097329,36.4255381652031,36.4255381652031,36.4255381652031
"62","Great_Chagos_Bank_Middle_Brother","Puffinus_bailloni",0,0,0,0,0,0,0,8,118.5,0.19,8.49139524097329,0,0,0
"63","Great_Chagos_Bank_Resurgent","Puffinus_bailloni",0,0,0,0,0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"64","Great_Chagos_Bank_South_Brother","Puffinus_bailloni",400,400,400,400,400,400,400,23,118.5,0.19,8.49139524097329,3.16743810132201,3.16743810132201,3.16743810132201
"65","Great_Chagos_Bank_Nelson's_Island","Puffinus_bailloni",5,5,5,5,5,5,5,81,118.5,0.19,8.49139524097329,0.0112424500509886,0.0112424500509886,0.0112424500509886
"66","Peros_Banhos_Coin","Puffinus_bailloni",0,0,0,0,0,0,0,127.5,118.5,0.19,8.49139524097329,0,0,0
"67","Peros_Banhos_Anglaise","Puffinus_bailloni",0,0,0,0,0,0,0,12,118.5,0.19,8.49139524097329,0,0,0
"68","Peros_Banhos_Monpatre_complex","Puffinus_bailloni",0,0,0,0,0,0,0,4.5,118.5,0.19,8.49139524097329,0,0,0
"69","Peros_Banhos_Poule","Puffinus_bailloni",0,0,0,0,0,0,0,108,118.5,0.19,8.49139524097329,0,0,0
"70","Peros_Banhos_Petit_Souer","Puffinus_bailloni",0,0,0,0,0,0,0,41.5,118.5,0.19,8.49139524097329,0,0,0
"71","Peros_Banhos_Grand_Souer","Puffinus_bailloni",0,0,0,0,0,0,0,64,118.5,0.19,8.49139524097329,0,0,0
"72","Peros_Banhos_Finon","Puffinus_bailloni",0,0,0,0,0,0,0,1,118.5,0.19,8.49139524097329,0,0,0
"73","Peros_Banhos_Verte","Puffinus_bailloni",0,0,0,0,0,0,0,3,118.5,0.19,8.49139524097329,0,0,0
"74","Peros_Banhos_Unnamed_Burtle","Puffinus_bailloni",0,0,0,0,0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"75","Peros_Banhos_Manon","Puffinus_bailloni",0,0,0,0,0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"76","Peros_Banhos_Pierre","Puffinus_bailloni",0,0,0,0,0,0,0,150,118.5,0.19,8.49139524097329,0,0,0
"77","Peros_Banhos_Petite_Mapou","Puffinus_bailloni",0,0,0,0,0,0,0,10,118.5,0.19,8.49139524097329,0,0,0
"78","Peros_Banhos_Grande_Mapou","Puffinus_bailloni",0,0,0,0,0,0,0,19.5,118.5,0.19,8.49139524097329,0,0,0
"79","Peros_Banhos_Diamant","Puffinus_bailloni",0,0,0,0,0,0,0,88.5,118.5,0.19,8.49139524097329,0,0,0
"80","Peros_Banhos_Passe","Puffinus_bailloni",0,0,0,0,0,0,0,22.5,118.5,0.19,8.49139524097329,0,0,0
"81","Peros_Banhos_Moresby","Puffinus_bailloni",0,0,0,0,0,0,0,43.5,118.5,0.19,8.49139524097329,0,0,0
