"","iho_sea","territory1","layer","area","meanjm","sdjm","meanj","sdj","meantonnes","sdtonnes"
"1","Indian Ocean","Chagos Archipelago","ChagosBuffer1000km",3742609533897.61,3.20509846683338,1.28407234412445,11995432079051.2,4805781397334.43,2998858.0197628,1201445.34933361
"2","Indian Ocean","Chagos Archipelago","ChagosBuffer1000km_cutout",3375932368373.21,2.93233499961898,1.14683858795215,9899364640127.38,3871649510367.1,2474841.16003184,967912.377591774
"3","Indian Ocean","Chagos Archipelago","ChagosBuffer100km",108815084895.76,0.0905694912111033,0.0479759015574305,9855326875.10202,5220501800.92244,2463.8317187755,1305.12545023061
"4","Indian Ocean","Chagos Archipelago","ChagosBuffer250km",257862080628.63,0.182193976003293,0.094091381086497,46980917730.2118,24262599296.1854,11745.2294325529,6065.64982404636
