"","Atoll","Island","ID","Treatment","Original.ID","Year","Date","Image","Use.","View","Processed.by","Top_surface_area_cm2","Top_perimeter_cm","Max_top_diameter_cm","number_days_between","number_days_total","diff_SA","diff_diameter","AMR","diff_AMR","diff_SA_day","diff_AMR_day","diff_diameter_day","diff_SA_year","diff_AMR_year","diff_diameter_year","Seabirds_ha","kg_N_ha_yr"
"63","Salomon","Sal_Ile_Anglaise","Sal_Anglaise_11","ratty",11,2019,2019-03-11,9974,"Y","top","CB",43.322,38.784,9.257,0,0,"NA","NA",1.11700701320132,"NA","NA","NA","NA","NA","NA","NA",0.78,0.16
"64","Salomon","Sal_Ile_Anglaise","Sal_Anglaise_11","ratty",11,2020,2020-03-20,1874,"Y","top","CB",56.971,44.186,10.548,375,375,"13.648999999999999","1.2909999999999999",1.28934504141583,"0.17233802821451299","3.6397333333333302E-2","4.5956807523870002E-4","3.4426666666666698E-3","13.285026666666701","0.16774234746212599","1.25657333333333",0.78,0.16
"65","Salomon","Sal_Ile_Anglaise","Sal_Anglaise_11","ratty",11,2021,2021-04-20,2847,"Y","top","CB",82.651,51.072,13.541,396,771,"25.68","2.9929999999999999",1.61832315162907,"0.32897811021324003","6.4848484848484794E-2","8.3075280356878695E-4","7.5580808080808097E-3","23.669696969697","0.303224773302607","2.7586994949495001",0.78,0.16
"66","Salomon","Sal_Ile_Anglaise","Sal_Anglaise_22","ratty",22,2019,2019-03-11,9997,"Y","top","CB",60.145,62.117,11.562,0,0,"NA","NA",0.968253457185634,"NA","NA","NA","NA","NA","NA","NA",0.78,0.16
"67","Salomon","Sal_Ile_Anglaise","Sal_Anglaise_22","ratty",22,2020,2020-03-20,1879,"Y","top","CB",97.399,63.729,13.619,375,375,"37.253999999999998","2.0569999999999999",1.5283309011596,"0.56007744397396397","9.9344000000000002E-2","1.4935398505972401E-3","5.4853333333333299E-3","36.260559999999998","0.54514204546799205","2.0021466666666701",0.78,0.16
"68","Salomon","Sal_Ile_Anglaise","Sal_Anglaise_92","ratty",92,2019,2019-03-11,9982,"Y","top","CB",75.468,62.678,12.561,0,0,"NA","NA",1.20405884042248,"NA","NA","NA","NA","NA","NA","NA",0.78,0.16
"69","Salomon","Sal_Ile_Anglaise","Sal_Anglaise_92","ratty",92,2020,2020-03-20,1861,"Y","top","CB",140.017,101.993,17.32,375,375,"64.549000000000007","4.7590000000000003",1.37280989871854,"0.16875105829606299","0.17213066666666699","4.5000282212283402E-4","1.2690666666666701E-2","62.827693333333301","0.16425103007483399","4.6320933333333301",0.78,0.16
"70","Salomon","Sal_Ile_Anglaise","Sal_Anglaise_92","ratty",92,2021,2021-04-20,2832,"Y","top","CB",229.614,114.188,23.246,396,771,"89.596999999999994","5.9260000000000002",2.0108417697131,"0.63803187099456504","0.22625505050504999","1.61119159342062E-3","1.49646464646465E-2","82.583093434343397","0.58808493159852604","5.4620959595959597",0.78,0.16
"71","Salomon","Sal_Ile_Anglaise","Sal_Anglaise_93","ratty",93,2019,2019-03-11,9989,"Y","top","CB",54.017,50.123,10.697,0,0,"NA","NA",1.07768888534206,"NA","NA","NA","NA","NA","NA","NA",0.78,0.16
"72","Salomon","Sal_Ile_Anglaise","Sal_Anglaise_93","ratty",93,2020,2020-03-20,1854,"Y","top","CB",106.088,66.402,14.054,375,375,"52.070999999999998","3.3570000000000002",1.59766272100238,"0.51997383566031996","0.13885600000000001","1.3865968950941901E-3","8.9519999999999999E-3","50.68244","0.50610786670937902","3.2674799999999999",0.78,0.16
"73","Salomon","Sal_Ile_Anglaise","Sal_Anglaise_93","ratty",93,2021,2021-04-20,2841,"Y","top","CB",147.342,74.298,17.413,396,771,"41.253999999999998","3.359",1.98312202212711,"0.38545930112473098","0.10417676767676801","9.7338207354730004E-4","8.48232323232323E-3","38.024520202020199","0.35528445684476401","3.0960479797979801",0.78,0.16
"74","Salomon","Ile_de_la_Passe","Sal_Passe_8","birdy",8,2019,2019-03-11,9817,"Y","top","CB",26.098,22.652,6.379,0,0,"NA","NA",1.15212784743069,"NA","NA","NA","NA","NA","NA","NA",15.29,6.06
"75","Salomon","Ile_de_la_Passe","Sal_Passe_8","birdy",8,2020,2020-03-20,1760,"Y","top","CB",74.128,51.063,11.418,375,375,"48.03","5.0389999999999997",1.45169692340834,"0.29956907597764798","0.12808","7.9885086927372801E-4","1.3437333333333299E-2","46.749200000000002","0.291580567284911","4.9046266666666698",15.29,6.06
"76","Salomon","Ile_de_la_Passe","Sal_Passe_9","birdy",9,2019,2019-03-11,9807,"Y","top","CB",64.909,47.826,12.06,0,0,"NA","NA",1.35719064943754,"NA","NA","NA","NA","NA","NA","NA",15.29,6.06
"77","Salomon","Ile_de_la_Passe","Sal_Passe_9","birdy",9,2020,2020-03-20,1781,"Y","top","CB",208.506,98.281,22.86,375,375,"143.59700000000001","10.8",2.12152908497065,"0.76433843553310099","0.38292533333333301","2.0382358280882701E-3","2.8799999999999999E-2","139.76774666666699","0.74395607725221802","10.512",15.29,6.06
"78","Salomon","Ile_de_la_Passe","Sal_Passe_9","birdy",9,2020,2021-04-21,2747,"Y","top","CB",300.587,107.837,22.154,397,772,"92.081000000000003","-0.70599999999999996",2.78741990225989,"0.66589081728924704","0.23194206549118401","1.6773068445572999E-3","-1.7783375314861401E-3","84.658853904282097","0.61221699826341303","-0.649093198992443",15.29,6.06
"79","Salomon","Ile_de_la_Passe","Sal_Passe_40","birdy",40,2019,2019-03-11,9829,"Y","top","CB",47.857,35.437,9.892,0,0,"NA","NA",1.3504811355363,"NA","NA","NA","NA","NA","NA","NA",15.29,6.06
"80","Salomon","Ile_de_la_Passe","Sal_Passe_40","birdy",40,2020,2020-03-20,1769,"Y","top","CB",163.869,73.963,16.402,375,375,"116.012","6.51",2.21555372280735,"0.86507258727104597","0.30936533333333299","2.3068602327227898E-3","1.736E-2","112.91834666666701","0.84200398494381801","6.3364000000000003",15.29,6.06
"81","Salomon","Ile_de_la_Passe","Sal_Passe_48","birdy",48,2019,2019-03-11,9849,"Y","top","CB",105.165,46.307,14.238,0,0,"NA","NA",2.27103893579804,"NA","NA","NA","NA","NA","NA","NA",15.29,6.06
"82","Salomon","Ile_de_la_Passe","Sal_Passe_48","birdy",48,2020,2020-03-20,1747,"Y","top","CB",177.676,91.21,17.179,375,375,"72.510999999999996","2.9409999999999998",1.94798815919307,"-0.323050776604972","0.19336266666666699","-8.6146873761325997E-4","7.8426666666666593E-3","70.577373333333298","-0.31443608922883998","2.8625733333333301",15.29,6.06
"83","Salomon","Ile_de_la_Passe","Sal_Passe_48","birdy",48,2021,2021-04-18,2771,"Y","top","CB",810.845,198.484,35.68,394,769,"633.16899999999998","18.501000000000001",4.08519074585357,"2.1372025866605","1.60702791878173","5.4243720473616704E-3","4.6956852791878202E-2","586.56519035532995","1.9798957972870099","17.139251269035501",15.29,6.06
