"","Pop_Consumption_t","Pop_Consumption_low_t","Pop_Consumption_high_t","Pop_Consumption_t.pred.low.nn","Pop_Consumption_t.pred.low.nn.low","Pop_Consumption_t.pred.low.nn.high","Pop_Consumption_t.pred.high.nn","Pop_Consumption_t.pred.high.nn.low","Pop_Consumption_t.pred.high.nn.high"
"Sula_sula",522.204109648781,297.229883908436,658.930947079446,844.967144410601,480.931092389523,1065.42059234371,596.253501048061,339.330091032368,752.102615405978
"Onychoprion_fuscatus",6748.23025443796,2816.66016408455,14247.0868864765,27263.6344651733,11363.8726677125,57460.1417311972,12522.0517179918,5222.16216788018,26408.8337309829
"Anous_tenuirostris",803.958251460324,435.780626039653,1235.20187457107,1393.52931804292,755.180486570722,2140.33210059983,965.684302818834,523.394480240357,1483.48739265462
"All",8381.259252412,3719.73736758756,16605.5391483918,29808.9975644917,12770.0509402276,61130.2138644055,14390.8561587236,6254.95343270782,29108.7431793083
