"","Atoll_Island","Species","Census","Value.high.nn","Value.low.nn","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"17","Peros_Banhos_Monpatre_complex","Ardenna_pacifica",0,0,0,4.5,159,0.435,14.3091066075762,0,0,0
"18","Peros_Banhos_Poule","Ardenna_pacifica",0,0,0,108,159,0.435,14.3091066075762,0,0,0
"19","Peros_Banhos_Petit_Souer","Ardenna_pacifica",0,0,0,41.5,159,0.435,14.3091066075762,0,0,0
"20","Peros_Banhos_Grand_Souer","Ardenna_pacifica",0,0,0,64,159,0.435,14.3091066075762,0,0,0
"21","Peros_Banhos_Finon","Ardenna_pacifica",0,0,0,1,159,0.435,14.3091066075762,0,0,0
"22","Peros_Banhos_Verte","Ardenna_pacifica",0,0,0,3,159,0.435,14.3091066075762,0,0,0
"23","Peros_Banhos_Unnamed_Burtle","Ardenna_pacifica",0,0,0,2,159,0.435,14.3091066075762,0,0,0
"24","Peros_Banhos_Manon","Ardenna_pacifica",0,0,0,2,159,0.435,14.3091066075762,0,0,0
"25","Peros_Banhos_Pierre","Ardenna_pacifica",0,0,0,150,159,0.435,14.3091066075762,0,0,0
"26","Peros_Banhos_Petite_Mapou","Ardenna_pacifica",0,0,0,10,159,0.435,14.3091066075762,0,0,0
"27","Peros_Banhos_Grande_Mapou","Ardenna_pacifica",0,0,0,19.5,159,0.435,14.3091066075762,0,0,0
"28","Peros_Banhos_Diamant","Ardenna_pacifica",0,0,0,88.5,159,0.435,14.3091066075762,0,0,0
"29","Peros_Banhos_Passe","Ardenna_pacifica",0,0,0,22.5,159,0.435,14.3091066075762,0,0,0
"30","Peros_Banhos_Moresby","Ardenna_pacifica",0,0,0,43.5,159,0.435,14.3091066075762,0,0,0
"31","Peros_Banhos_Saint_Brandon","Ardenna_pacifica",0,0,0,0.5,159,0.435,14.3091066075762,0,0,0
"32","Peros_Banhos_Parasol","Ardenna_pacifica",0,0,0,7.5,159,0.435,14.3091066075762,0,0,0
"33","Peros_Banhos_Longue","Ardenna_pacifica",0,0,0,25.5,159,0.435,14.3091066075762,0,0,0
"34","Peros_Banhos_Grand_Bois_Mangue","Ardenna_pacifica",0,0,0,14.5,159,0.435,14.3091066075762,0,0,0
"35","Peros_Banhos_Petite_Bois_Mangue","Ardenna_pacifica",0,0,0,8.5,159,0.435,14.3091066075762,0,0,0
"36","Peros_Banhos_Manoel","Ardenna_pacifica",0,0,0,50,159,0.435,14.3091066075762,0,0,0
"37","Peros_Banhos_Unnamed_Marlin","Ardenna_pacifica",0,0,0,0.25,159,0.435,14.3091066075762,0,0,0
"38","Peros_Banhos_Yeye","Ardenna_pacifica",0,0,0,58.5,159,0.435,14.3091066075762,0,0,0
"39","Peros_Banhos_Petite_Coquillage","Ardenna_pacifica",0,0,0,17,159,0.435,14.3091066075762,0,0,0
"40","Peros_Banhos_Grand_Coquillage","Ardenna_pacifica",0,0,0,21,159,0.435,14.3091066075762,0,0,0
"41","Peros_Banhos_Coin_de_Mire","Ardenna_pacifica",2,2,2,0.5,159,0.435,14.3091066075762,1.64720711623774,1.64720711623774,1.64720711623774
"42","Peros_Banhos_Vache_Marine","Ardenna_pacifica",0,0,0,8,159,0.435,14.3091066075762,0,0,0
"43","Peros_Banhos_Fouquet","Ardenna_pacifica",0,0,0,2,159,0.435,14.3091066075762,0,0,0
"44","Peros_Banhos_Mapou_de_Coin","Ardenna_pacifica",0,0,0,2,159,0.435,14.3091066075762,0,0,0
"45","Salomon_Islands_Boddam","Ardenna_pacifica",0,0,0,108.5,159,0.435,14.3091066075762,0,0,0
"46","Salomon_Islands_Diable","Ardenna_pacifica",0,0,0,0.5,159,0.435,14.3091066075762,0,0,0
"47","Salomon_Islands_Anglaise","Ardenna_pacifica",0,0,0,75.5,159,0.435,14.3091066075762,0,0,0
"48","Salomon_Islands_Passe","Ardenna_pacifica",0,0,0,26,159,0.435,14.3091066075762,0,0,0
"49","Salomon_Islands_Mapou","Ardenna_pacifica",0,0,0,4,159,0.435,14.3091066075762,0,0,0
"50","Salomon_Islands_Takamaka","Ardenna_pacifica",0,0,0,44,159,0.435,14.3091066075762,0,0,0
"51","Salomon_Islands_Fouquet","Ardenna_pacifica",0,0,0,39.5,159,0.435,14.3091066075762,0,0,0
"52","Salomon_Islands_Sepulture","Ardenna_pacifica",0,0,0,0.5,159,0.435,14.3091066075762,0,0,0
"53","Salomon_Islands_Jacobin","Ardenna_pacifica",0,0,0,1.5,159,0.435,14.3091066075762,0,0,0
"54","Salomon_Islands_Sel","Ardenna_pacifica",0,0,0,2,159,0.435,14.3091066075762,0,0,0
"55","Salomon_Islands_Poule","Ardenna_pacifica",0,0,0,0.5,159,0.435,14.3091066075762,0,0,0
"56","Diego_Garcia_Diego_Garcia","Puffinus_bailloni",2,2,2,2719.5,118.5,0.19,8.49139524097329,0.000133942041423803,0.000133942041423803,0.000133942041423803
"57","Diego_Garcia_West_Island","Puffinus_bailloni",0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"58","Diego_Garcia_Middle_Island","Puffinus_bailloni",0,0,0,5,118.5,0.19,8.49139524097329,0,0,0
"59","Diego_Garcia_East_Island","Puffinus_bailloni",0,0,0,7.5,118.5,0.19,8.49139524097329,0,0,0
"60","Egmont_Islands_Sudest_complex","Puffinus_bailloni",0,0,0,NA,118.5,0.19,8.49139524097329,NA,NA,NA
"61","Egmont_Islands_Lubine_complex","Puffinus_bailloni",0,0,0,NA,118.5,0.19,8.49139524097329,NA,NA,NA
"62","Great_Chagos_Bank_Danger","Puffinus_bailloni",10,10,10,66,118.5,0.19,8.49139524097329,0.0275951046706084,0.0275951046706084,0.0275951046706084
"63","Great_Chagos_Bank_Sea_Cow","Puffinus_bailloni",5,5,5,18,118.5,0.19,8.49139524097329,0.0505910252294488,0.0505910252294488,0.0505910252294488
"64","Great_Chagos_Bank_Eagle_Island","Puffinus_bailloni",0,0,0,243.5,118.5,0.19,8.49139524097329,0,0,0
"65","Great_Chagos_Bank_North_Brother","Puffinus_bailloni",1200,1200,1200,6,118.5,0.19,8.49139524097329,36.4255381652031,36.4255381652031,36.4255381652031
"66","Great_Chagos_Bank_Middle_Brother","Puffinus_bailloni",0,0,0,8,118.5,0.19,8.49139524097329,0,0,0
"67","Great_Chagos_Bank_Resurgent","Puffinus_bailloni",0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"68","Great_Chagos_Bank_South_Brother","Puffinus_bailloni",400,400,400,23,118.5,0.19,8.49139524097329,3.16743810132201,3.16743810132201,3.16743810132201
"69","Great_Chagos_Bank_Nelson's_Island","Puffinus_bailloni",5,5,5,81,118.5,0.19,8.49139524097329,0.0112424500509886,0.0112424500509886,0.0112424500509886
"70","Peros_Banhos_Coin","Puffinus_bailloni",0,0,0,127.5,118.5,0.19,8.49139524097329,0,0,0
"71","Peros_Banhos_Anglaise","Puffinus_bailloni",0,0,0,NA,118.5,0.19,8.49139524097329,NA,NA,NA
"72","Peros_Banhos_Monpatre_complex","Puffinus_bailloni",0,0,0,4.5,118.5,0.19,8.49139524097329,0,0,0
"73","Peros_Banhos_Poule","Puffinus_bailloni",0,0,0,108,118.5,0.19,8.49139524097329,0,0,0
"74","Peros_Banhos_Petit_Souer","Puffinus_bailloni",0,0,0,41.5,118.5,0.19,8.49139524097329,0,0,0
"75","Peros_Banhos_Grand_Souer","Puffinus_bailloni",0,0,0,64,118.5,0.19,8.49139524097329,0,0,0
"76","Peros_Banhos_Finon","Puffinus_bailloni",0,0,0,1,118.5,0.19,8.49139524097329,0,0,0
"77","Peros_Banhos_Verte","Puffinus_bailloni",0,0,0,3,118.5,0.19,8.49139524097329,0,0,0
"78","Peros_Banhos_Unnamed_Burtle","Puffinus_bailloni",0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"79","Peros_Banhos_Manon","Puffinus_bailloni",0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"80","Peros_Banhos_Pierre","Puffinus_bailloni",0,0,0,150,118.5,0.19,8.49139524097329,0,0,0
"81","Peros_Banhos_Petite_Mapou","Puffinus_bailloni",0,0,0,10,118.5,0.19,8.49139524097329,0,0,0
"82","Peros_Banhos_Grande_Mapou","Puffinus_bailloni",0,0,0,19.5,118.5,0.19,8.49139524097329,0,0,0
"83","Peros_Banhos_Diamant","Puffinus_bailloni",0,0,0,88.5,118.5,0.19,8.49139524097329,0,0,0
"84","Peros_Banhos_Passe","Puffinus_bailloni",0,0,0,22.5,118.5,0.19,8.49139524097329,0,0,0
"85","Peros_Banhos_Moresby","Puffinus_bailloni",0,0,0,43.5,118.5,0.19,8.49139524097329,0,0,0
"86","Peros_Banhos_Saint_Brandon","Puffinus_bailloni",0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"87","Peros_Banhos_Parasol","Puffinus_bailloni",0,0,0,7.5,118.5,0.19,8.49139524097329,0,0,0
"88","Peros_Banhos_Longue","Puffinus_bailloni",0,0,0,25.5,118.5,0.19,8.49139524097329,0,0,0
"89","Peros_Banhos_Grand_Bois_Mangue","Puffinus_bailloni",0,0,0,14.5,118.5,0.19,8.49139524097329,0,0,0
"90","Peros_Banhos_Petite_Bois_Mangue","Puffinus_bailloni",0,0,0,8.5,118.5,0.19,8.49139524097329,0,0,0
"91","Peros_Banhos_Manoel","Puffinus_bailloni",0,0,0,50,118.5,0.19,8.49139524097329,0,0,0
"92","Peros_Banhos_Unnamed_Marlin","Puffinus_bailloni",0,0,0,0.25,118.5,0.19,8.49139524097329,0,0,0
"93","Peros_Banhos_Yeye","Puffinus_bailloni",0,0,0,58.5,118.5,0.19,8.49139524097329,0,0,0
"94","Peros_Banhos_Petite_Coquillage","Puffinus_bailloni",0,0,0,17,118.5,0.19,8.49139524097329,0,0,0
"95","Peros_Banhos_Grand_Coquillage","Puffinus_bailloni",10,10,10,21,118.5,0.19,8.49139524097329,0.0867274718219122,0.0867274718219122,0.0867274718219122
"96","Peros_Banhos_Coin_de_Mire","Puffinus_bailloni",0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"97","Peros_Banhos_Vache_Marine","Puffinus_bailloni",0,0,0,8,118.5,0.19,8.49139524097329,0,0,0
"98","Peros_Banhos_Fouquet","Puffinus_bailloni",0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"99","Peros_Banhos_Mapou_de_Coin","Puffinus_bailloni",0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"100","Salomon_Islands_Boddam","Puffinus_bailloni",0,0,0,108.5,118.5,0.19,8.49139524097329,0,0,0
"101","Salomon_Islands_Diable","Puffinus_bailloni",0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"102","Salomon_Islands_Anglaise","Puffinus_bailloni",0,0,0,75.5,118.5,0.19,8.49139524097329,0,0,0
"103","Salomon_Islands_Passe","Puffinus_bailloni",0,0,0,26,118.5,0.19,8.49139524097329,0,0,0
"104","Salomon_Islands_Mapou","Puffinus_bailloni",0,0,0,4,118.5,0.19,8.49139524097329,0,0,0
"105","Salomon_Islands_Takamaka","Puffinus_bailloni",0,0,0,44,118.5,0.19,8.49139524097329,0,0,0
"106","Salomon_Islands_Fouquet","Puffinus_bailloni",0,0,0,39.5,118.5,0.19,8.49139524097329,0,0,0
"107","Salomon_Islands_Sepulture","Puffinus_bailloni",0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"108","Salomon_Islands_Jacobin","Puffinus_bailloni",0,0,0,1.5,118.5,0.19,8.49139524097329,0,0,0
"109","Salomon_Islands_Sel","Puffinus_bailloni",0,0,0,2,118.5,0.19,8.49139524097329,0,0,0
"110","Salomon_Islands_Poule","Puffinus_bailloni",0,0,0,0.5,118.5,0.19,8.49139524097329,0,0,0
"111","Diego_Garcia_Diego_Garcia","Phaethon_lepturus",6,6,6,2719.5,119.5,0.32,11.7925784424493,0.000562752510581263,0.000562752510581263,0.000562752510581263
"112","Diego_Garcia_West_Island","Phaethon_lepturus",0,0,0,2,119.5,0.32,11.7925784424493,0,0,0
"113","Diego_Garcia_Middle_Island","Phaethon_lepturus",0,0,0,5,119.5,0.32,11.7925784424493,0,0,0
"114","Diego_Garcia_East_Island","Phaethon_lepturus",0,0,0,7.5,119.5,0.32,11.7925784424493,0,0,0
"115","Egmont_Islands_Sudest_complex","Phaethon_lepturus",2,2,2,NA,119.5,0.32,11.7925784424493,NA,NA,NA
"116","Egmont_Islands_Lubine_complex","Phaethon_lepturus",0,0,0,NA,119.5,0.32,11.7925784424493,NA,NA,NA
"117","Great_Chagos_Bank_Danger","Phaethon_lepturus",0,0,0,66,119.5,0.32,11.7925784424493,0,0,0
"118","Great_Chagos_Bank_Sea_Cow","Phaethon_lepturus",0,0,0,18,119.5,0.32,11.7925784424493,0,0,0
"119","Great_Chagos_Bank_Eagle_Island","Phaethon_lepturus",1,1,1,243.5,119.5,0.32,11.7925784424493,0.00104750544320722,0.00104750544320722,0.00104750544320722
"120","Great_Chagos_Bank_North_Brother","Phaethon_lepturus",0,0,0,6,119.5,0.32,11.7925784424493,0,0,0
"121","Great_Chagos_Bank_Middle_Brother","Phaethon_lepturus",0,0,0,8,119.5,0.32,11.7925784424493,0,0,0
"122","Great_Chagos_Bank_Resurgent","Phaethon_lepturus",0,0,0,0.5,119.5,0.32,11.7925784424493,0,0,0
"123","Great_Chagos_Bank_South_Brother","Phaethon_lepturus",0,0,0,23,119.5,0.32,11.7925784424493,0,0,0
"124","Great_Chagos_Bank_Nelson's_Island","Phaethon_lepturus",0,0,0,81,119.5,0.32,11.7925784424493,0,0,0
