"","Pop_Consumption_t","Pop_Consumption_low_t","Pop_Consumption_up_t"
"Shearwater",83.5440733420157,54.1016415707228,126.870508278495
"Tern/Noddy",5651.33976706053,3581.63962314951,8672.74767581785
"Tropic/Booby/Frigate",935.545554212654,526.188054782047,1229.59653578016
"Pop_Consumption_t",6670.4293946152,4161.92931950228,10029.2147198765
